City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ilulissat,69.2167,-51.1,272.56,73,39,2.25,GL,1681499449
84,huarmey,-10.0681,-78.1522,300.28,72,95,6.07,PE,1681499741
85,havoysund,70.9963,24.6622,275.28,65,0,3.09,NO,1681499449
86,jamestown,42.097,-79.2353,302.33,25,0,2.68,US,1681499288
87,dalvik,65.9702,-18.5286,275.99,96,100,0.77,IS,1681499452
88,mahebourg,-20.4081,57.7,299.31,89,40,1.54,MU,1681499447
89,thinadhoo,0.5333,72.9333,301.24,73,92,3.13,MV,1681499500
90,barrow,71.2906,-156.7887,251.16,84,40,2.57,US,1681499358
91,lompoc,34.6391,-120.4579,291.31,66,20,7.6,US,1681499444
92,nurota,40.5614,65.6886,288.77,63,3,1.92,UZ,1681499742
93,kruisfontein,-34.0033,24.7314,286.8,72,11,6.06,ZA,1681499513
94,faanui,-16.4833,-151.75,300.14,73,18,3.79,PF,1681499504
95,wapi pathum,15.8452,103.3768,303.33,53,100,3.53,TH,1681499742
96,airai,-8.9266,125.4092,288.64,95,59,0.85,TL,1681499497
97,xuddur,4.1213,43.8894,301.83,41,59,5.12,SO,1681499742
98,bintulu,3.1667,113.0333,297.38,94,20,1.03,MY,1681499742
99,saldanha,-33.0117,17.9442,288.34,71,0,9.69,ZA,1681499445
100,hofn,64.2539,-15.2082,279.78,66,98,1.48,IS,1681499496
101,te anau,-45.4167,167.7167,282.15,90,5,0.59,NZ,1681499448
102,mount gambier,-37.8333,140.7667,287.34,87,100,6.59,AU,1681499447
103,butaritari,3.0707,172.7902,300.96,78,28,5.33,KI,1681499453
104,ngara,-2.5122,30.6558,287.36,96,24,1.03,TZ,1681499742
105,chernyshevskiy,63.0128,112.4714,262.06,97,19,2.45,RU,1681499742
106,belaya gora,68.5333,146.4167,255.36,99,100,1.4,RU,1681499743
107,luderitz,-26.6481,15.1594,292.81,48,0,9.5,NA,1681499520
108,mastic beach,40.7668,-72.8521,302.14,58,0,3.6,US,1681499743
109,babu,24.4167,111.5167,293.52,94,34,2.6,CN,1681499743
110,avarua,-21.2078,-159.775,297.18,83,100,1.03,CK,1681499448
111,narsaq,60.9167,-46.05,282.27,54,100,8.53,GL,1681499449
112,ulaanbaatar,47.9077,106.8832,266.22,63,0,0.0,MN,1681499528
113,isangel,-19.55,169.2667,298.69,89,100,4.86,VU,1681499512
114,jinchang,38.4953,102.1739,283.61,24,100,4.5,CN,1681499695
115,ribeira grande,38.5167,-28.7,291.37,88,75,7.6,PT,1681499488
116,shagonar,51.5333,92.8,275.81,66,100,1.28,RU,1681499744
117,provideniya,64.3833,-173.3,258.03,74,0,2.98,RU,1681499463
118,flin flon,54.7682,-101.865,282.06,40,100,2.06,CA,1681499735
119,phuthaditjhaba,-28.5242,28.8158,283.43,56,23,2.14,ZA,1681499744
120,cherskiy,68.75,161.3,255.32,86,33,4.33,RU,1681499447
121,vila velha,-20.3297,-40.2925,303.12,78,20,6.17,BR,1681499497
122,yulara,-25.2406,130.9889,291.17,83,100,6.02,AU,1681499465
123,pacific grove,36.6177,-121.9166,288.92,68,20,4.63,US,1681499465
124,saint anthony,45.0205,-93.218,301.39,34,0,10.29,US,1681499445
125,kangaatsiaq,68.3065,-53.4641,269.65,76,14,4.0,GL,1681499745
126,nome,64.5011,-165.4064,259.19,66,20,10.29,US,1681499476
127,vanimo,-2.6741,141.3028,298.49,89,100,3.02,PG,1681499513
